Ticker,Company,Peer Group,Country,Category
IMAX,IMAX Corporation,Core PLF/Tech,USA,PLF/Immersive Tech
DBO.TO,D-BOX Technologies Inc.,Core PLF/Tech,Canada,PLF/Immersive Tech
DLB,Dolby Laboratories Inc.,Core PLF/Tech,USA,PLF/Immersive Tech
AMC,AMC Entertainment Holdings Inc.,Exhibitor,USA,Exhibitor
CNK,Cinemark Holdings Inc.,Exhibitor,USA,Exhibitor
CGX.TO,Cineplex Inc.,Exhibitor,Canada,Exhibitor
KINE.BR,Kinepolis Group NV,Exhibitor,Belgium,Exhibitor
MCS,The Marcus Corporation,Exhibitor,USA,Exhibitor
RDIB,Reading International Inc.,Exhibitor,USA,Exhibitor
EMAN.L,Everyman Media Group plc,Exhibitor,UK,Exhibitor
MAJOR.BK,Major Cineplex Group Public Company Limited,Exhibitor,Thailand,Exhibitor
299900.KQ,위지윅스튜디오,CG/VFX,Korea,Domestic Peer
253450.KQ,스튜디오드래곤,CG/VFX,Korea,Domestic Peer
206560.KQ,덱스터,CG/VFX,Korea,Domestic Peer
289220.KQ,자이언트스텝,CG/VFX,Korea,Domestic Peer
476080.KQ,엠83,CG/VFX,Korea,Domestic Peer
035760.KQ,CJ ENM,CG/VFX,Korea,Domestic Peer
0547.HK,Digital Domain Holdings Limited,Global CG/VFX,Hong Kong,Overseas CG/VFX Peer
8271.HK,Global Digital Creations Holdings Limited,Global CG/VFX,Hong Kong,Overseas CG/VFX Peer
4816.T,Toei Animation Co. Ltd.,Global CG/VFX,Japan,Overseas Animation Peer
3791.T,IG Port Inc.,Global CG/VFX,Japan,Overseas Animation Peer
DNEG.L,DNEG PLC,Global CG/VFX,UK,Overseas CG/VFX Peer
